"Id","Name","Aka","Type","Clan","Discipline","Pool Cost","Blood Cost","Conviction Cost","Burn Option","Card Text","Flavor Text","Set","Requirement","Banned","Artist","Capacity","Draft"
"101927","Tajdid","","Master","Assamite","","","","","","Only one Tajdid can be played in a game.
Until the end of the game, the Blood Curse no longer prevents Assamites from committing diablerie.","","FN:R2, LotN:PA, POD:DTC","","","Drew Tucker","",""
"101928","Taking the Skin: Minion","","Action Modifier/Combat","","Abombwe","","","","","[abo] [REFLEX] Cancel a frenzy card played on this vampire as it is played.
[abo] Skin. Play when this vampire burns a minion. Put this card on this vampire and unlock him or her. This vampire may bleed an additional time this turn and gets +1 bleed and +1 stealth when bleeding. Burn this card during your discard phase. A minion can have only one skin.","","EK:R","","","Leif Jones","",""
"101929","Taking the Skin: Vulture","","Reaction","","Abombwe","","1","","","Skin.
[abo] [REFLEX] Cancel a frenzy card played on this vampire as it is played.
[abo] +1 intercept, and put this card on this vampire. This vampire has flight [FLIGHT]. Burn this card during your next unlock phase. A minion can have only one skin.
[ABO] As above, and this vampire gets an optional maneuver each combat.","","EK:R","","","Brian LeBlanc","",""
"101930","Talaq, The Immortal","","Ally","","","3","","","","Unique mage with 3 life. 0 strength, 0 bleed.
Talaq may strike for 1R damage. Talaq may play cards that require basic Quietus [qui] or basic Thaumaturgy [tha] as a vampire with a capacity of 3. Talaq gets an optional maneuver each combat.","","AH:R2, Tenth:B, Third:PTr","","","Rob Alexander","",""
"101931","Talbot's Chainsaw","","Equipment","","","3","","","","Unique weapon.
Strike: 3 damage. If the bearer is ready during your unlock phase, this weapon inflicts 3 unpreventable damage on a ready minion you control. The bearer cannot hunt. The bearer can enter combat with a minion as a +1 stealth (D) action. The bearer gets 1 press (mandatory), only usable to continue combat during the first round, and can prevent 1 damage each combat.","","Jyhad:R, VTES:R, CE:R, KoT:R, 25th:1","","","Tom Wänerstrand; Jim Nelson","",""
"101932","Talith","","Equipment","Ravnos","","","","","","Melee weapon.
Strength+1 damage each strike. A Ravnos may use this weapon to strike: destroy weapon with first strike instead.","Any tool is a weapon if you hold it right.
Ani DiFranco","LotN:U/PR","","","Jeff Holt","",""
"101933","Talons of the Dead","","Master","Gangrel antitribu","","2","","","","Unique master.
Put this card on a Gangrel antitribu you control. Damage from this vampire's hand strikes is aggravated. (D) actions cost this vampire an additional blood. This vampire's controller may use a master phase action to burn this card.","Their fatal hands
No second stroke intend.
John Milton, ""Paradise Lost""","BH:R2, KMW:PG, Third:R","","","Brian LeBlanc","",""
"101934","Taming the Beast","","Combat","","Abombwe","","","","","[abo] [REFLEX] Cancel a frenzy card played on this vampire as it is played.
[abo] Strike: hand strike at +1 damage. This combat, this minion cannot cancel frenzy cards nor press to end.
[ABO] As above, but strike: burn equipment.","","EK:C","","","James Stowe","",""
"101935","Tangle Atropos' Hand","","Action Modifier","","Temporis/Potence","","1","","","Only usable if a minion attempts to block.
[pot] Cancel the action and unlock this vampire. (The action is not blocked. Do not lock the blocking minion.)
[tem] As [pot] above, and take the action card, if any, back in your hand (discard down afterward).
[TEM] As [tem] above, and this vampire gets +1 stealth on their next action this turn.","","LoB:R, Promo-20190614","","","Jeremy McHugh","",""
"101936","Tapestry of Blood","","Equipment","","","","1","","","Unique equipment.
This vampire can look at the top three cards of any Methuselah's library and burn up to one of those as a +1 stealth action that costs 1 blood. If that action is successful, this vampire unlocks at the end of the turn. This vampire gains 1 blood when a Gehenna event is played.","","Gehenna:R, KoT:R","","","Brian LeBlanc","",""
"101937","Tara, The Hollow One","Tara, The Hollow One (Mage)","Ally","Ravnos","","3","","","","Unique mage with 2 life. 0 strength, 0 bleed.
Tara {can} strike{:} 1R damage. Tara {can} burn an equipment{} on a Ravnos as a (D) action{; that} Ravnos gains blood equal to the cost of the equipment{}{, 1 blood instead i}f the equipment{} has no cost{}.","","DS:U","","","Anson Maddocks","",""
"101938","Target Hand","","Combat","","","","","","","Aim. Play when choosing a strike.
The opposing minion may discard two combat cards [COMBAT] to cancel this card. If any damage from this strike is successfully inflicted on the opposing minion, he or she gets -1 strength this action, and you may destroy a weapon he or she has. A minion may play only one aim each strike.","","LotN:R","","","Imaginary Friends Studios","",""
"101939","Target Head","","Combat","","","","","","","Aim. Play when choosing a strike.
The strike does +2 damage. The opposing minion may discard a combat card [COMBAT] to cancel this card. If any damage from this strike is successfully inflicted on the opposing minion, he or she cannot use any additional strikes or presses this round, and you may set the range for the next round. A minion may play only one aim each strike.","","LotN:R","","","Imaginary Friends Studios","",""
"101940","Target Leg","","Combat","","","","","","","Aim. Play when choosing a strike.
The opposing minion may discard two combat cards [COMBAT] to cancel this card. If any damage from this strike is successfully inflicted on the opposing minion, he or she may use maneuvers or presses only if they require Obfuscate [obf] , Thaumaturgy [tha] or Flight [FLIGHT] this action. A minion may play only one aim each strike.","","LotN:R","","","Imaginary Friends Studios","",""
"101941","Target Retainer","","Combat","","","","","","","Aim. Only usable as this minion chooses a strike. A minion can play only one aim each strike.
You can target a retainer on the opposing minion with this strike (instead of the opposing minion). Or you can target the opposing minion directly as usual, but if any damage from this strike is successfully inflicted, this strike inflicts +1 damage. The opposing minion can discard two combat cards{} to cancel this card as it is played.","","KoT:R/B1","","","Jeremy McHugh","",""
"101942","Target Vitals","","Combat","","","","","","","Aim. Only usable as this minion chooses a strike. A minion can play only one aim each strike.
If any damage from this strike is successfully inflicted on the opposing minion, they take +2 damage from this strike, and they cannot press this round. They can discard two combat cards to cancel this card as it is played.","","LotN:U, HttB:PSal3, Anthology:3, SP:PwN3","","","Imaginary Friends Studios; Javier Santos; Imaginary Friends Studios","",""
"101943","Tasha Morgan","","Retainer","","","","","","","Unique mortal with 1 life.
The minion with this retainer gets +1 bleed.","","Jyhad:R2, VTES:R, SW:R, CE:R2","","","Chris McLoughlin","",""
"101944","Taste of Death","","Combat","","Quietus","","1","","","Only usable at long range.
[qui] Strike: 1R aggravated damage.
[QUI] Strike: 2R aggravated damage.","","AH:C2, FN:PA4, LotN:PA3, POD:DTC","","","Ron Spencer; Brad Williams","",""
"101945","Taste of Vitae","","Combat","","","","","","","Only usable at the end of a round of combat. Not usable by a vampire being burned or going to torpor. A vampire can play only one Taste of Vitae each round.
This vampire gains blood equal to the amount of blood lost by the opposing vampire to damage this round.","","Jyhad:U, VTES:U, SW:PB, CE:U/PB2/PN, BH:PN2, KMW:PAn2, LoB:PO2, Third:PB2, LotN:PG2, KoT:U/PB3/PT3, V5:PN4","","","Pete Venters; Brian LeBlanc","",""
"101946","Tattoo Signal","","Action","","","","","","Y","+1 stealth action. Requires a Seraph.
Put this card on this acting Seraph. This ready Seraph may lock this card to unlock another Black Hand vampire. A minion may have only one Tattoo Signal.","","SoC:C","seraph","","Heather Kreiter","",""
"101947","Taunt the Caged Beast","","Action","","Animalism","","","","","[ani] (D) Enter combat with any vampire, with an optional maneuver in that combat.
[ANI] Choose a ready vampire controlled by your predator and another controlled by your prey (not usable when only one other Methuselah is in the game). The chosen vampires enter combat. If only one is ready at the end of that combat, he or she gains 4 blood.","","SoC:C, KoT:C","","","Brian LeBlanc","",""
"101948","Telepathic Counter","","Reaction","","Auspex","","","","","[aus] Reduce a bleed against you by 1.
[AUS] Reduce a bleed against you by 2.","","Jyhad:C, VTES:C, Sabbat:C, SW:C/PV2, CE:C/PM4, Anarchs:PAB3/PAG, BH:PTo4, Third:PM4, HttB:PSal2","","","Susan Van Camp; Darryl Elliott; Joe Slucher","",""
"101949","Telepathic Misdirection","","Reaction","","Auspex","","1","","","[aus] +1 intercept.
[AUS] Only usable if a minion is bleeding you, after blocks are declined. Lock this reacting vampire. Change the target of the bleed to another Methuselah other than the acting minion's controller (that Methuselah can attempt to block).","","Jyhad:C, VTES:C, CE:C/PM4, BH:PM3/PTo4, Third:C/PM2, KoT:C/PT4, SP:DoF2/LB4, FB:PM4/PTo4/PTr4, V5:PM5/PTr4","","","Edward Beard, Jr.; James Stowe","",""
"101950","Telepathic Tracking","","Combat","","Auspex","","1","","","[aus] Press, only usable to continue combat. If another round of combat occurs, this vampire gets 1 optional maneuver that round.
[AUS] Only usable {if} both combatants are still ready and combat would end. {Instead,} start a new round{}.","","SW:U, LoB:PO2, Third:U, SP:DoF3","","","Mike Danza","",""
"101951","Telepathic Vote Counting","","Action Modifier","","Auspex","","","","","Only usable during a referendum.
[aus] Cancel the referendum. If you played a political card to call this referendum, take the card back into your hand (discard afterward). Any votes and ballots cast are lost.
[AUS] Force a vampire to abstain. This can cancel that vampire's votes and ballots.","","Jyhad:R, VTES:R, SW:PV, CE:R2/PTo, Anarchs:PAB, BH:PM, Third:R2","","","Richard Thomas","",""
"101952","Templar","","Political Action","","","","","","","Requires a ready titled Sabbat vampire.
Choose a Sabbat vampire. If this referendum is successful, put this card on the chosen vampire. This vampire is a Templar. He or she may enter combat with a ready vampire controlled by another Methuselah as a +1 stealth (D) action. Any Sabbat vampire may call a referendum to burn this card as a +1 stealth political action.","I don't have to kill anyone? Then why call for me?
Talley, The Hound, Lasombra","SW:C/PB, BH:PTo5, Third:C","sabbat,titled","","Drew Tucker","",""
"101953","Temple Hunting Ground","","Master","Follower of Set","","2","","","","Master: unique location. Hunting ground.
During your unlock phase, you may move 1 blood from the blood bank to a ready vampire you control. A vampire can gain blood from only one Hunting Ground card each turn.","","AH:C2, FN:PS, LotN:PS","","","Rebecca Guay; Eric Deschamps","",""
"101954","Temptation","","Action","","Serpentis","","1","","","[ser] (D) Put this card on a ready vampire; you still control this card. During your master phase, you can add 1 counter to this card. During your minion phase, if the number of counters on this card equals or exceeds the amount of blood on the attached vampire, you can burn the counters to unlock and take control of them until the end of the turn.
[SER] As above, and this card comes into play with 1 counter.","","AH:R2, FN:PS, KMW:PB, LotN:PS3, POD:DTC","","","Mark Tedin; Brad Williams","",""
"101955","Temptation of Greater Power","","Master","","","3","","","","Master. Requires a ready justicar.
Choose a vampire. Methuselahs may bid pool for control of that vampire. The winner pays the bid to the blood bank and takes control. Methuselahs may be credited up to 5 pool on the bid: winner pays 1 pool toward his or her debt during his or her discard phase until the debt is repaid. Only 1 Temptation of Greater Power can be played in a game.","The Toreador's loyalty was easily won with cheap trinkets and even cheaper promises.
Gangrel, Newark 2002 Storyline","Jyhad:R, VTES:R, CE:R, KoT:R","justicar","2016","Christopher Rush; Brian LeBlanc","",""
"101956","Tend the Flock","","Master","Baali","","","","","","Choose a ready unlocked infernal Baali you control. Add 3 {blood} to a younger infernal vampire in your uncontrolled region.","","HttB:C/A2","","","Paul Ballard","",""
"101957","Tenebrous Form","","Action Modifier","","Obtenebration","","1","","","[obt] +1 stealth.
[OBT] As above, and minions without Obtenebration [obt] must burn 1 blood to attempt to block (allies cannot burn blood).","Be as a shadow on a dark night; unseen, unheard, let there be no sign of your coming in or going out.
The Admonitions","BH:C, SP:PoS2, POD:DTC","","","Fred Harper","",""
"101958","Tension in the Ranks","","Master","","","","","","","Unique master.
Put this card in play. Whenever a ready minion is burned or sent to torpor, his or her controller burns 1 pool. Any Methuselah can burn this card by discarding two master cards as a master phase action.","Even the war ghouls look nervous.
Assamites, Seekonk 2002 Storyline.","CE:R2, LoB:PO, Third:R2, KoT:R/PB","","","Steve Prescott","",""
"101959","Terra Incognita","","Reaction","","","","","","","Requires a ready Laibon. Not usable if you control any ready non-Laibon vampires.
Reduce a bleed against you made by a non-Laibon controlled by your predator by 1, or burn a blood to cancel a card that would retarget a bleed to you played by a non-Laibon as it is played (no cost is paid).","","LoB:C","laibon","","Durwin Talon","",""
"101960","Terror Frenzy","","Combat","","Animalism","","1","","","Frenzy.
[ani] Only usable before range is determined on the first round. During this combat, the opposing minion cannot use maneuvers to maneuver to close range, cannot use presses to continue combat and cannot use equipment.
[ANI] Only usable before range is determined. Combat cards cost the opposing vampire an additional blood this combat. A vampire may play only one Terror Frenzy at superior each combat.","","Sabbat:R, SW:R, FN:PR, CE:PN, LoB:PG","","","Jeff Klimek","",""
"101961","Terrorists","","Ally","Assamite","","2","","","","Mortal with 1 life. 2 strength, 1 bleed.
Terrorists may take a +1 stealth action to go through your library, find a Bomb, and equip them with it. Pay the cost to equip as normal. Reshuffle your library afterwards.","In times of war, the laws are silent.","AH:R2","","2020","Tom Wänerstrand","",""
"101962","Textbook Damnation, The","","Equipment","","","1","","","","Unique equipment.
The vampire with this equipment has superior Daimoinon [DAI] and is infernal. Cards that require Daimoinon [dai] cost this vampire 2 less blood. During your master phase, if this vampire is locked, burn this equipment.","","KMW:R","","","Brian LeBlanc","",""
"101963","Thadius Zho","Thadius Zho, Mage","Ally","Tremere","","4","","","","Unique mage with 2 life. 0 strength, 2 bleed.
Thadius Zho can strike: 2R damage. He gets 1 optional maneuver each combat. He can burn 1 blood from any vampire as a +1 stealth (D) action.","","Jyhad:R2, VTES:R, CE:R, FB:PTr1","","","Christopher Rush; Nilson","",""
"101964","Thanks for the Donation","","Action","","Dominate","","","","","+1 stealth action.
[dom] Put this card into play and choose a card you are contesting with another Methuselah. Your cost to avoid yielding the contested card is now paid by your prey. (You still decide whether you will yield.) Any minion may burn this card as a (D) action.","","Sabbat:R, SW:R","","","Clint Langley","",""
"101965","Thaumaturgy","","Master","","","","","","","Master: Discipline.
Put this card on a vampire. This vampire gains 1 level of Thaumaturgy [tha]. Capacity increases by 1: the vampire is one generation older. Cannot be placed on a vampire with superior Thaumaturgy [THA].","","Jyhad:C, VTES:C, Sabbat:C, CE:C, Third:PTr, HttB:PGar","","","Anson Maddocks; Ash Arnett; Arkady Roytman","+1",""
"101966","Theft of Vitae","","Combat","","Thaumaturgy","","","","","[tha] Ranged strike: steal 1 blood or life (becoming blood).
[THA] Ranged strike: steal 2 blood or life (becoming blood).","The blood is the life!
The blood is the life!
Bram Stoker, ""Dracula""","Jyhad:C, VTES:C, Sabbat:C, CE:C/PTr5, BH:PTr5, KMW:PB6, Third:C/PTr6, KoT:C, SP:PwN3, FB:PTr6, V5:PTr10","","","Ron Spencer; Michael Astrachan; Ron Spencer","",""
"101967","Their Master's Voice","","Reaction","Tremere/Tremere antitribu","","","","","","Usable by a locked vampire.
Unlock a gargoyle creature ally or a ready slave Gargoyle you control.","","LK:4","","","Gábor Németh","",""
"101968","Therbold Realty","","Master","","","","","","","Master: unique location.
Locations cost you 1 less blood or pool.","Money can't buy friends, but it can get you a better class of enemy.
Spike Milligan","LotN:R","","","Becky Jollensten","",""
"101969","Thicker than Blood","","Master","Blood Brother","","2","","","","Choose a ready Blood Brother you control. Move a unique Blood Brother of the same circle from your uncontrolled region to your ready region. Not usable if they would contest a card in play.","","HttB:R2/A2","","","Phil Wohr","",""
"101970","Thin Blood","","Combat","","Quietus","","1","","","Only usable at close range before strikes are chosen. A vampire can play only one Thin Blood each round.
[qui] The opposing vampire burns 1 blood.
[QUI] The opposing vampire burns 2 blood.","","FN:C2/PA2, POD:DTC","","","Brian LeBlanc","",""
"101971","Thin-Blooded Seer","","Action","","","","1","","","Requires a ready non-sterile vampire of capacity less than 3.
Put this card into play; it becomes a 1-capacity vampire. This vampire is clanless and sterile. This vampire is not considered unique, must hunt this turn and is the same sect as the acting vampire. Cards that cost blood cost this vampire twice as much blood to play. During your unlock phase, you may lock this vampire to look at the top two cards of any Methuselah's library.","","BH:R","non-sterile,capacity less than 3","","Brian LeBlanc","1",""
"101972","Thing","","Action","Gangrel","","","","","","+1 stealth action.
Add 2 blood to a Gangrel in your uncontrolled region.","","TU:C","","","Javier Santos","",""
"101973","Third Tradition: Progeny","Third Tradition: Progeny, The","Action","","","","1","","","+1 stealth action. Requires a ready non-Sterile prince or justicar.
Put this card in play; it becomes a non-unique 1-capacity {Camarilla} vampire of the same clan as the acting vampire. You may go through your library (shuffle afterward), ash heap or hand to find a Discipline card for this vampire. Move up to 2 blood from the acting vampire to this vampire. This vampire cannot take any actions this turn.","Thou shalt only sire another with the permission of thine elder.","Jyhad:U, VTES:U, CE:U, KoT:U","prince,justicar,non-sterile","","L. A. Williams; Julie Collins","1",""
"101974","Thirst","","Event","","","","","","","Gehenna.
After the end of a Methuselah's minion phase, each ready vampire he or she controls with capacity less than the number of Gehenna cards in play who did not hunt in that minion phase burns 1 blood.","Night after night. Rising, hunting, killing, feeding. Nothing more than ambulatory corpses without the good sense to lie down and be still.
Felton, Tremere","Gehenna:R","","","Randy Asplund","",""
"101975","Those Who Endure Judge","","Action Modifier","","","","1","","","Requires a Laibon with capacity above 4. Only usable when the action is announced.
The acting vampire gets two additional votes in any referendums conducted during this action (even blood hunt referendums). Any younger vampire successfully blocking this action burns 1 blood (before combat, if any). If he or she cannot, the block fails and the action continues as if unblocked.","","LoB:C","laibon,capacity above 4","","Heather Kreiter","",""
"101976","Thoughts Betrayed","","Combat","","Dominate","","2","","","Only usable before range is determined on the first round.
[dom] Opposing minion takes 1 additional damage in the first round of combat during normal strike resolution.
[DOM] Opposing minion cannot play any strike cards for the duration of this combat.","","DS:C2, SW:PV, FN:PG, CE:PTr2, Third:C","","","Dave Roach; Pete Burges","",""
"101977","Threading the Path of Orpheus","","Action","Harbinger of Skulls","","","","","","+1 stealth action.
Burn a card played by another Methuselah on a vampire you control. Lock that vampire.","","HttB:R","","","John Bridges","",""
"101978","Threats","","Action Modifier","","Dominate","","","","","{Only usable during a bleed action.}
[dom] +1 bleed {(limited)}.
[DOM] +2 bleed {(limited)}.","As others might with tenderness
Rule your life and your youngness
I shall rule you with a fear.
Baudelaire, ""The Ghost""","Jyhad:C, VTES:C, Sabbat:C, SW:C/PL4, CE:C, Third:PTr4","","","Mark Tedin; Matt Wilson","",""
"101979","Three's a Crowd","","Combat","Blood Brother","","","1","","","Requires a ready unlocked Blood Brother of the same circle as another one you control in combat.
Only usable before range is determined. The range this round is automatically close, and the Blood Brother in combat gets an optional press, only usable to continue combat.","","HttB:C","same circle","","Avery Butterworth","",""
"101980","Threestar Cab Company","","Master","","","3","","","","Master: unique location. Hunting ground.
Lock during your master phase to move a blood from the blood bank to this card. Lock during your unlock phase to move 1 blood from this card to your pool or to a ready vampire you control. A vampire can gain blood from only one hunting ground card each turn.","","KMW:PAn","","","Beth Trott","",""
"101981","Thrones Crumble","","Action","","Serpentis","","","","","[ser] (D) Burn 2 blood from a ready titled vampire.
[SER] As above, and lock the target vampire.","For there's no greater evil than a lack of leadership. That destroys whole cities, turns households into ruins, and in war makes soldiers break and run away.
Sophocles, ""Antigon""","FN:C2, POD:DTC","","","Dennis Calero","",""
"101982","Thrown Gate","","Combat","","Potence","","","","","[pot] Strike: 1R damage, with an optional maneuver.
[POT] Strike: 2R damage, with an optional maneuver.","Just be glad we aren't back in the days when most gates were made out of wood.
Angela Decker, Pander","Jyhad:C, VTES:C, Sabbat:C, SW:PL4, FN:PG2, CE:C/PB4, BH:PN3, KMW:PAn4, LoB:PO4","","","Dan Frazier; Ron Spencer","",""
"101983","Thrown Sewer Lid","","Combat","","Potence","","","","","Only usable at long range.
[pot] Strike: 3R damage.
[POT] As above, with an optional press.","","Jyhad:C, VTES:C, SW:PB, CE:C/PB5, Anarchs:PAG2, BH:PN4, LoB:PO5","","","Mike Raabe","",""
"101984","Tier of Souls","","Action","","Animalism","","","","","[ani] (D) Move 1 blood from a minion controlled by your prey to this vampire.
[ANI] As above, and put this card on the acting vampire. This vampire gets +1 bleed when bleeding your prey. Any minion may burn this card as a (D) action. A vampire may have only one Tier of Souls.","","Sabbat:R, SW:R, Anarchs:PG, LoB:PA, Third:R","","","Harold Arthur McNeill","",""
"101985","Tinglestripe","","Equipment","","Mytherceria","","","","","Weapon. This weapon can be used to strike only once each round.
[myt] Strike: 2R damage.
[MYT] As above, or strike: 1R damage, with 1 optional maneuver each combat.","","HttB:C/B1/PKia2","","","Justin Norman","",""
"101986","Tithings","","Political Action","","","","","","","Requires a ready Sabbat vampire with a capacity above 6.
Successful referendum means you steal 1 pool from each Methuselah who does not control a vampire with a capacity above 6.","","Sabbat:R, SW:R, Third:R","sabbat,capacity above 6","","James Allen Higgins","",""
"101987","Tomb of Rameses III","","Master","","","3","","","","Master: unique location.
When this card is played or the controller of this card changes, the controller chooses a vampire in his or her uncontrolled region. For each blood counter you transfer to the chosen vampire during your influence phase, move one counter from the blood bank to the Tomb. At the end of your influence phase, if the total number of counters on the chosen vampire and on the Tomb equals or exceeds that vampire's capacity, you may move the vampire to the ready region. Burn this card (and the counters on it) when this vampire leaves the uncontrolled region.","","AH:R2, SW:R, FN:PA","","","Sandra Everingham","",""
"101988","Tongue of the Serpent","","Combat","","Serpentis","","","","","[ser] Strike: steal 1 blood or life (becoming blood).
[SER] Strike: steal 2 blood or life (becoming blood).","No matter what he hope or plan,
There is no moment left when man
Is not subject to the constant
Warnings of this odious Serpent.
Charles Baudelaire, ""The Serpent's Tooth""","AH:C2, FN:PS3, POD:DTC","","","Mark Tedin","",""
"101989","Toreador Grand Ball","","Master","Toreador","","1","","","","Choose two ready Toreador you control, put this card in play, and lock one of the two. The locked Toreador does not unlock as normal. The other Toreador's non-bleed actions cannot be blocked. Any minion can burn this card as a (D) action; Nosferatu get -1 stealth during that action.","","DS:U, CE:U, KoT:U, V5:PTo4","","","Richard Kane Ferguson; Jim Di Bartolo","",""
"101990","Toreador Justicar","","Political Action","","","","","","","Title.
Choose a ready Toreador. Successful referendum means this card is put on the chosen Toreador to represent the unique Camarilla title of Toreador Justicar. In this referendum, each ready Toreador gets +1 vote.","","Jyhad:R, VTES:R, CE:R, KoT:R, V5:PTo1","","","Heather Hudson; William O'Connor","",""
"101991","Toreador's Bane","","Combat","","Melpominee/Presence","","","","","Only usable in combat with a Toreador, Toreador antitribu, ally or younger vampire.
[pre] Strike: combat ends.
[mel] Strike: combat ends, and if this vampire was blocked while performing an action other than a political action or bleeding, the action continues as if unblocked.
[MEL] Strike: combat ends, and if this vampire was blocked, the action continues as if unblocked.","","BL:C1, LoB:R","","","Leif Jones","",""
"101992","Torment the Soul","","Combat","","Necromancy","","","","","Not usable during the first round of combat.
[nec] Strike: 1R damage.
[NEC] Strike: 1R aggravated damage.","Suppose the yesterdays ate up our grand tomorrows?
If the old madness came this way?
Paul Verlaine, ""Sagesse"", Book One","DS:C2, FN:PG2, POD:DTC","","","Max Shade Fellwalker","",""
"101993","Torn Signpost","","Combat","","Potence","","","","","Only usable before range is determined.
[pot] This vampire has a strength of 2 for the remainder of combat.
[POT] This vampire has a strength of 3 for the remainder of combat.","","Jyhad:U, VTES:U, SW:PB, CE:U, Anarchs:PAG, KMW:PAl2, Third:PB2, LotN:PG2, KoT:U/PB3, HttB:PGar3","","","Jeff Menges; Brian LeBlanc","",""
"101994","Torpid Blood","","Event","","","","","","","Gehenna. Do not replace until a vampire moves from torpor to the ready region.
Actions taken by vampires in torpor cost an additional blood. Rescuing an older vampire from torpor costs an additional blood.","There is no after for us, and yet there is an after if kine survive.
Anonymous Malkavian, Das Buch von der Grabkrieg","Gehenna:R, KoT:R","","","matrix von z","",""
"101995","Torrent","","Combat","","Celerity","","2","","","[cel] Additional strike {(limited)}.
[CEL] Strike: combat ends. If this vampire was blocked while performing an action, the action continues as if unblocked.","","KoT:C/B2","","","John Bridges","",""
"101996","Tortured Confession","","Combat","","","","1","","","Only usable when the opposing vampire goes into torpor; not usable by a vampire going into torpor. Combat ends. You may look at the opposing vampire's controller's hand.","To chase one's victim, to prepare one's plan minutely, to slake an implacable vengeance, and then to go to bed... There is nothing sweeter in the world.
Josef Stalin","FN:C2/PG2","","","Steve Prescott","",""
"101997","Total Insanity","","Action","","Dementation","","","","","[dem] (D) Put this card on an ally or a younger vampire. The minion with this card has -1 stealth. During this minion's unlock phase, add a counter to this card. Burn this card when it has 3 counters on it.
[DEM] As above, and the minion with this card cannot play action cards.","","SW:C, Third:C","","","William O'Connor","",""
"101998","Touch of Clarity","","Action Modifier/Reaction","","Dementation","","1","","","Usable by an acting minion or any ready unlocked minion.
[dem] Cancel a non-combat card requiring Dementation [dem], Dominate [dom] or Presence [pre] as it is played, and its cost is not paid. Lock this vampire.
[DEM] As above, but do not lock this vampire.","","KoT:R/A2","","","John Bridges","",""
"101999","Touch of Pain","","Reaction","","Potence","","1","","","Only usable when a bleed against you is successful or a referendum passes. Play after resolution.
[pot] This vampire inflicts 1 damage on the acting minion. Only one Touch of Pain can be played each action.
[POT] As above, but for 2 damage.","","SoC:C","","","Brian LeBlanc","",""
"102000","Tourette's Voice","","Reaction","","Melpominee/Auspex","","","","","[aus] +1 intercept.
[mel] Give a minion you control (even this one) +1 intercept.
[MEL] Give a minion +1 intercept.","As we stand on the edge of darkness
Let our chant fill the void
That others may know ...
Tibetan Book of the Dead","BL:C2, LoB:C","","","Brian LeBlanc","",""
"102001","Tower of London","","Master","Giovanni","","2","","","","Unique location.
Lock after resolution of a successful action requiring Necromancy [nec] to gain 1 pool.","","FN:R2, POD:DTC","","","William O'Connor","",""
"102002","Toy Chest Test","","Master","","","1","","","","Master. Requires a ready Sabbat vampire with a capacity above 4.
Burn a Sabbat vampire with a capacity below 4 that has been put into play since your last turn (not usable on a vampire that has been contested).","Toy is a national treasure. We'd never let him go.
Preacher, Malkavian antitribu","BL:R1, Third:PB","sabbat,capacity above 4","","Dennis Calero","",""
"102003","Tracker's Mark","","Combat","Salubri antitribu","","","","","Y","Play when the opposing minion burns blood or life due to damage. Put this card on the opposing minion. This Salubri antitribu gets +1 intercept when attempting to block the minion with this card. If the vampire with this card is Tremere or Baali, this Salubri antitribu can enter combat with him or her as a (D) action. The minion with this card may burn it as a +1 stealth action. A vampire can play only one Tracker's Mark each combat.","","BL:C1, LoB:C","","","Mark Nelson","",""
"102004","Tradition Upheld","","Political Action","","","","","","","Requires a prince, justicar, or Inner Circle member.
Choose a ready Caitiff. If this referendum is successful, burn that Caitiff.","The tradition finally becomes holy and inspires awe.
Friedrich Nietzsche, ""Human, All Too Human""","DS:C2","prince,justicar,inner circle","","Richard Kane Ferguson","",""
"102005","Traditionalist","","Master","","","","","","","Master: archetype. Trifle.
Put this card on a vampire you control. Once per turn, when this vampire casts his or her votes or ballots against a referendum and the referendum fails, he or she gains 1 blood from the blood bank. A vampire can have only one archetype.","We are stubborn, self-destructive conformists. Any other view of our species is just a self-congratulatory delusion.
Michael Crichton, ""The Lost World""","Gehenna:C","","","Attila Adorjany; Eric Kim","",""
"102006","Tragic Love Affair","","Master","","","","","","","Master.
Put this card on a Toreador. Lock that Toreador. The Toreador suffering the Tragic Love Affair does not unlock during the unlock phase. The Toreador's controller may burn 1 pool during his or her master phase to transfer this card to another Toreador. A Methuselah can burn the Edge to burn this card.","","Jyhad:U, VTES:U","","","Susan Van Camp","",""
"102007","Trainer","","Action","","Animalism","","","","","+1 stealth action.
[ani] (D) Steal an animal retainer controlled by another Methuselah.
[ANI] Put this card on this acting vampire. When this vampire is acting or in combat, cards that require Animalism cost other vampires an additional blood, and animal retainers employed by other minions lose their abilities. A vampire can have only one Trainer.","","BH:R","","","Steve Prescott","",""
"102008","Tranquility","","Combat","","Dominate","","","","","Only usable by a ready vampire not involved in combat.
[dom] Cancel a frenzy card as it is played (no cost is paid).
[DOM] As above, and the target of the frenzy card gets an optional press, only usable to end combat.","Enough! Be seated and be quiet, both of you.
Don Michael Antonio Giovanni, Giovanni ""Prince"" of Las Vegas","KMW:R","","","Glen Osterberger","",""
"102009","Transcendent Laibon","","Master","","","","","","Y","Unique master.
Put this card on a Laibon with at least three Aye and three Orun. During your unlock phase, this Laibon gains 1 blood. Allies and younger vampires must burn 1 blood or life to attempt to block this Laibon or to target this Laibon with a (D) action. Burn this card if this minion is not ready or has fewer than three Aye or three Orun.","","EK:R","","","Mathias Kollros","",""
"102010","Transfer of Power","","Political Action","","","","","","","Successful referendum means you steal 1 pool from each Methuselah who has more pool than you do.","","Sabbat:R, SW:R, Third:R","","","Matt Cavotta","",""
